POKEMON,DEX,TYPE 1,TYPE 2,TIER,RARITY,SRL,TAG,ITEM,ABILITY,EV SPREAD,NATURE,IV SPREAD,MOVE 1,MOVE 2,MOVE 3,MOVE 4,GENERATED (D),GENERATED (N),GENERATED (R),PICKED (D),PICKED (N),BANNED
Bulbasaur,1,Grass,Poison,LC,NONE,-1,SUN,Normalium Z,Chlorophyll,44 Def / 160 SpA / 240 Spe,Modest,0 Atk,Celebrate,Sludge Bomb,Giga Drain,Hidden Power [Fire],0,0,0,0,0,0
Ivysaur,2,Grass,Poison,NFE,COMMON,0,,Eviolite,Overgrow,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Giga Drain,Sludge Bomb,Sleep Powder,Synthesis,0,0,0,0,0,0
Ivysaur,2,Grass,Poison,NFE,COMMON,0,,Life Orb,Overgrow,252 HP / 4 Def / 252 SpA,Modest,0 Atk,Synthesis,Hidden Power [Fire],Sludge Bomb,Giga Drain,0,0,0,0,0,0
Ivysaur,2,Grass,Poison,NFE,COMMON,0,,Eviolite,Overgrow,168 HP / 172 Atk / 168 SpD,Adamant,,Power Whip,Curse,Rest,Sleep Talk,0,0,0,0,0,0
Venusaur,3,Grass,Poison,OU,ULTRA-RARE,0,UBER,Venusaurite,Overgrow,168 HP / 172 Def / 168 SpD,Bold,0 Atk,Synthesis,Toxic,Giga Drain,Protect,0,0,0,0,0,0
Venusaur,3,Grass,Poison,RU,RARE,10,,Black Sludge,Overgrow,168 HP / 172 Atk / 168 SpD,Careful,,Swords Dance,Synthesis,Power Whip,Earthquake,0,0,0,0,0,0
Venusaur,3,Grass,Poison,RU,RARE,10,,Choice Specs,Overgrow,252 HP / 4 Def / 252 SpA,Modest,0 Atk,Leaf Storm,Hidden Power [Fire],Sludge Bomb,Nature Power,0,0,0,0,0,0
Venusaur,3,Grass,Poison,OU,ULTRA-RARE,0,,Venusaurite,Chlorophyll,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Sludge Bomb,Giga Drain,Synthesis,Sleep Powder,0,0,0,0,0,0
Venusaur,3,Grass,Poison,OU,ULTRA-RARE,0,,Venusaurite,Chlorophyll,252 HP / 4 Def / 252 SpA,Modest,0 Atk,Synthesis,Hidden Power [Fire],Giga Drain,Sludge Bomb,0,0,0,0,0,0
Venusaur,3,Grass,Poison,RU,RARE,10,SUN,Normalium Z,Chlorophyll,4 Atk / 252 SpA / 252 Spe,Hasty,,Giga Drain,Sludge Bomb,Earthquake,Celebrate,0,0,0,0,0,0
Charmander,4,Fire,,LC,NONE,-1,SUN,Choice Scarf,Solar Power,44 HP / 12 Def / 200 SpA / 236 Spe,Modest,0 Atk,Fire Blast,Hidden Power [Grass],Dragon Pulse,Ancient Power,0,0,0,0,0,0
Charmander,4,Fire,,LC,NONE,-1,SUN,Life Orb,Solar Power,44 HP / 12 Def / 200 SpA / 236 Spe,Timid,0 Atk,Flamethrower,Fire Blast,Hidden Power [Grass],Dragon Pulse,0,0,0,0,0,0
Charmeleon,5,Fire,,NFE,COMMON,8,,Eviolite,Blaze,168 HP / 168 SpA / 172 SpD,Calm,0 Atk,Toxic,Fire Blast,Sleep Talk,Rest,0,0,0,0,0,0
Charmeleon,5,Fire,,NFE,COMMON,8,,Eviolite,Blaze,168 HP / 172 Atk / 168 SpD,Careful,,Flare Blitz,Sleep Talk,Power-Up Punch,Rest,0,0,0,0,0,0
Charmeleon,5,Fire,,NFE,COMMON,8,,Normalium Z,Blaze,252 Atk / 4 SpD / 252 Spe,Jolly,,Belly Drum,Flare Blitz,Outrage,Thunder Punch,0,0,0,0,0,0
Charizard,6,Fire,Flying,NU,COMMON,11,SUN,Choice Scarf,Solar Power,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Air Slash,Fire Blast,Dragon Pulse,Focus Blast,0,0,0,0,0,0
Charizard,6,Fire,Flying,NU,COMMON,11,,Dragonium Z,Blaze,252 Atk / 4 Def / 252 Spe,Adamant,,Outrage,Flare Blitz,Dragon Dance,Earthquake,0,0,0,0,0,0
Charizard,6,Fire,Flying,OU,ULTRA-RARE,4,SUN,Charizardite Y,Solar Power,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Fire Blast,Solar Beam,Air Slash,Roost,0,0,0,0,0,0
Charizard,6,Fire,Flying,OU,ULTRA-RARE,8,,Charizardite X,Blaze,252 Atk / 4 Def / 252 Spe,Jolly,,Outrage,Flare Blitz,Dragon Dance,Earthquake,0,0,0,0,0,0
Charizard,6,Fire,Flying,OU,ULTRA-RARE,8,,Charizardite X,Blaze,168 HP / 168 Def / 172 Spe,Jolly,,Will-O-Wisp,Roost,Dragon Claw,Earthquake,0,0,0,0,0,0
Charizard,6,Fire,Flying,NU,COMMON,11,,Normalium Z,Blaze,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Hold Hands,Fire Blast,Air Slash,Hidden Power [Grass],0,0,0,0,0,0
Squirtle,7,Water,,LC,NONE,-1,,Eviolite,Torrent,84 HP / 52 Atk / 156 Def / 84 SpD / 92 Spe,Impish,,Fake Out,Rapid Spin,Waterfall,Aqua Jet,0,0,0,0,0,0
Wartortle,8,Water,,NFE,COMMON,9,,Eviolite,Torrent,168 HP / 172 Def / 168 SpA,Bold,0 Atk,Haze,Rapid Spin,Scald,Ice Beam,0,0,0,0,0,0
Wartortle,8,Water,,NFE,COMMON,9,,Eviolite,Torrent,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Hydro Pump,Ice Beam,Rapid Spin,Aura Sphere,0,0,0,0,0,0
