POKEMON,DEX,TYPE 1,TYPE 2,TIER,RARITY,TAG,ITEM,ABILITY,EV SPREAD,NATURE,IV SPREAD,MOVE 1,MOVE 2,MOVE 3,MOVE 4,STATUS,GENERATED (D),GENERATED (N),GENERATED (R),PICKED (D),PICKED (N),BANNED
Bulbasaur,1,Grass,Poison,LC,NONE,SUN,Normalium Z,Chlorophyll,44 Def / 160 SpA / 240 Spe,Modest,0 Atk,Celebrate,Sludge Bomb,Giga Drain,Hidden Power [Fire],PASS,0,0,0,0,0,0
Ivysaur,2,Grass,Poison,NFE,NONE,,Eviolite,Overgrow,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Giga Drain,Sludge Bomb,Sleep Powder,Synthesis,PASS,0,0,0,0,0,0
Ivysaur,2,Grass,Poison,NFE,NONE,,Life Orb,Overgrow,252 HP / 4 Def / 252 SpA,Modest,0 Atk,Synthesis,Hidden Power [Fire],Sludge Bomb,Giga Drain,PASS,0,0,0,0,0,0
Ivysaur,2,Grass,Poison,NFE,NONE,,Eviolite,Overgrow,168 HP / 172 Atk / 168 SpD,Adamant,,Power Whip,Curse,Rest,Sleep Talk,PASS,0,0,0,0,0,0
Venusaur,3,Grass,Poison,OU,ULTRA-RARE,,Venusaurite,Overgrow,168 HP / 172 Def / 168 SpD,Bold,0 Atk,Synthesis,Toxic,Giga Drain,Protect,PASS,0,0,0,0,0,0
Venusaur,3,Grass,Poison,RU,RARE,,Black Sludge,Overgrow,168 HP / 172 Atk / 168 SpD,Careful,,Swords Dance,Synthesis,Power Whip,Earthquake,PASS,0,0,0,0,0,0
Venusaur,3,Grass,Poison,RU,RARE,,Choice Specs,Overgrow,252 HP / 4 Def / 252 SpA,Modest,0 Atk,Leaf Storm,Hidden Power [Fire],Sludge Bomb,Nature Power,PASS,0,0,0,0,0,0
Venusaur,3,Grass,Poison,OU,ULTRA-RARE,,Venusaurite,Chlorophyll,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Sludge Bomb,Giga Drain,Synthesis,Sleep Powder,PASS,0,0,0,0,0,0
Venusaur,3,Grass,Poison,OU,ULTRA-RARE,,Venusaurite,Chlorophyll,252 HP / 4 Def / 252 SpA,Modest,0 Atk,Synthesis,Hidden Power [Fire],Giga Drain,Sludge Bomb,PASS,0,0,0,0,0,0
Venusaur,3,Grass,Poison,RU,RARE,SUN,Normalium Z,Chlorophyll,4 Atk / 252 SpA / 252 Spe,Hasty,,Giga Drain,Sludge Bomb,Earthquake,Celebrate,PASS,0,0,0,0,0,0
Charmander,4,Fire,,LC,NONE,SUN,Choice Scarf,Solar Power,44 HP / 12 Def / 200 SpA / 236 Spe,Modest,0 Atk,Fire Blast,Hidden Power [Grass],Dragon Pulse,Ancient Power,PASS,0,0,0,0,0,0
Charmander,4,Fire,,LC,NONE,SUN,Life Orb,Solar Power,44 HP / 12 Def / 200 SpA / 236 Spe,Timid,0 Atk,Flamethrower,Fire Blast,Hidden Power [Grass],Dragon Pulse,PASS,0,0,0,0,0,0
Charmeleon,5,Fire,,NFE,NONE,,Eviolite,Blaze,168 HP / 168 SpA / 172 SpD,Calm,0 Atk,Toxic,Fire Blast,Sleep Talk,Rest,PASS,0,0,0,0,0,0
Charmeleon,5,Fire,,NFE,NONE,,Eviolite,Blaze,168 HP / 172 Atk / 168 SpD,Careful,,Flare Blitz,Sleep Talk,Power-Up Punch,Rest,PASS,0,0,0,0,0,0
Charmeleon,5,Fire,,NFE,NONE,,Normalium Z,Blaze,252 Atk / 4 SpD / 252 Spe,Jolly,,Belly Drum,Flare Blitz,Outrage,Thunder Punch,PASS,0,0,0,0,0,0
Charizard,6,Fire,Flying,NU,COMMON,SUN,Choice Scarf,Solar Power,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Air Slash,Fire Blast,Dragon Pulse,Focus Blast,PASS,0,0,0,0,0,0
Charizard,6,Fire,Flying,NU,COMMON,,Dragonium Z,Blaze,252 Atk / 4 Def / 252 Spe,Adamant,,Outrage,Flare Blitz,Dragon Dance,Earthquake,PASS,0,0,0,0,0,0
Charizard,6,Fire,Flying,OU,ULTRA-RARE,SUN,Charizardite Y,Solar Power,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Fire Blast,Solar Beam,Air Slash,Roost,PASS,0,0,0,0,0,0
Charizard,6,Fire,Flying,OU,ULTRA-RARE,,Charizardite X,Blaze,252 Atk / 4 Def / 252 Spe,Jolly,,Outrage,Flare Blitz,Dragon Dance,Earthquake,PASS,0,0,0,0,0,0
Charizard,6,Fire,Flying,OU,ULTRA-RARE,,Charizardite X,Blaze,168 HP / 168 Def / 172 Spe,Jolly,,Will-O-Wisp,Roost,Dragon Claw,Earthquake,PASS,0,0,0,0,0,0
Charizard,6,Fire,Flying,NU,COMMON,,Normalium Z,Blaze,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Hold Hands,Fire Blast,Air Slash,Hidden Power [Grass],PASS,0,0,0,0,0,0
Squirtle,7,Water,,LC,NONE,,Eviolite,Torrent,84 HP / 52 Atk / 156 Def / 84 SpD / 92 Spe,Impish,,Fake Out,Rapid Spin,Waterfall,Aqua Jet,PASS,0,0,0,0,0,0
Wartortle,8,Water,,NFE,NONE,,Eviolite,Torrent,168 HP / 172 Def / 168 SpA,Bold,0 Atk,Haze,Rapid Spin,Scald,Ice Beam,PASS,0,0,0,0,0,0
Wartortle,8,Water,,NFE,NONE,,Eviolite,Torrent,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Hydro Pump,Ice Beam,Rapid Spin,Aura Sphere,PASS,0,0,0,0,0,0
Wartortle,8,Water,,NFE,NONE,,Eviolite,Rain Dish,168 HP / 168 Def / 172 SpD,Calm,0 Atk,Toxic,Protect,Scald,Seismic Toss,PASS,0,0,0,0,0,0
Blastoise,9,Water,,NU,COMMON,RAIN,Damp Rock,Rain Dish,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Rain Dance,Scald,Ice Beam,Rapid Spin,PASS,0,0,0,0,0,0
Blastoise,9,Water,,RU,RARE,,Blastoisinite,Torrent,252 HP / 252 SpA / 4 Spe,Modest,,Water Pulse,Aura Sphere,Aqua Jet,Ice Beam,PASS,0,0,0,0,0,0
Blastoise,9,Water,,NU,COMMON,,Leftovers,Torrent,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Refresh,Scald,Protect,Toxic,PASS,0,0,0,0,0,0
Blastoise,9,Water,,NU,COMMON,,Normalium Z,Rain Dish,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Celebrate,Hydro Pump,Ice Beam,Hidden Power [Electric],PASS,0,0,0,0,0,0
Blastoise,9,Water,,RU,RARE,,Blastoisinite,Rain Dish,168 HP / 172 SpA / 168 Spe,Modest,0 Atk,Rapid Spin,Scald,Dark Pulse,Ice Beam,PASS,0,0,0,0,0,0
Blastoise,9,Water,,NU,COMMON,,Choice Band,Torrent,252 HP / 252 Atk / 4 SpD,Adamant,,Aqua Jet,Earthquake,Ice Punch,Liquidation,PASS,0,0,0,0,0,0
Caterpie,10,Bug,,LC,NONE,,Choice Scarf,Shield Dust,76 HP / 196 Atk / 236 Spe,Naive,,Bug Bite,Electroweb,Snore,Tackle,PASS,0,0,0,0,0,0
Metapod,11,Bug,,NFE,NONE,,Choice Scarf,Shed Skin,252 Atk / 4 SpA / 252 Spe,Naive,,Bug Bite,Electroweb,Snore,Tackle,PASS,0,0,0,0,0,0
Butterfree,12,Bug,Flying,Untiered,COMMON,,Buginium Z,Tinted Lens,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Sleep Powder,Quiver Dance,Bug Buzz,Energy Ball,PASS,0,0,0,0,0,0
Butterfree,12,Bug,Flying,Untiered,COMMON,,Life Orb,Tinted Lens,4 Def / 252 SpA / 252 Spe,Timid,,Psychic,Sleep Powder,Quiver Dance,Bug Buzz,PASS,0,0,0,0,0,0
Butterfree,12,Bug,Flying,Untiered,COMMON,,Choice Scarf,Tinted Lens,4 Def / 252 SpA / 252 Spe,Timid,,Air Slash,Bug Buzz,U-turn,Energy Ball,PASS,0,0,0,0,0,0
Weedle,13,Bug,Poison,LC,NONE,,Choice Scarf,Shield Dust,36 HP / 236 Atk / 196 Spe,Naive,,Bug Bite,Electroweb,Poison Sting,String Shot,PASS,0,0,0,0,0,0
Kakuna,14,Bug,Poison,NFE,NONE,,Eviolite,Shed Skin,252 Atk / 4 SpA / 252 Spe,Jolly,,String Shot,Bug Bite,Electroweb,Poison Sting,PASS,0,0,0,0,0,0
