1800
1
Rotom-Mow,Electric,Grass,NU,COMMON
Lurantis,Grass,,PU,COMMON
Raichu-Alola,Electric,Psychic,PU,COMMON
Vileplume,Grass,Poison,NU,COMMON
Dartrix,Grass,Flying,NFE,COMMON
Parasect,Bug,Grass,PU,COMMON
Shiftry,Grass,Dark,PU,COMMON
Vileplume,Grass,Poison,NU,COMMON
Amoonguss,Grass,Poison,UU,RARE
Gloom,Grass,Poison,NFE,COMMON
Vileplume,Grass,Poison,NU,COMMON
Bellossom,Grass,,PU,COMMON
Lurantis,Grass,,PU,COMMON
Vileplume,Grass,Poison,NU,COMMON
Roserade,Grass,Poison,RU,RARE
Roselia,Grass,Poison,NFE,COMMON
Carnivine,Grass,,PU,COMMON
Vileplume,Grass,Poison,NU,COMMON
Roselia,Grass,Poison,NFE,COMMON
Rotom-Mow,Electric,Grass,NU,COMMON
Vileplume,Grass,Poison,NU,COMMON
Simisage,Grass,,PU,COMMON
Decidueye,Grass,Ghost,RU,RARE
Abomasnow,Ice,Grass,RU,RARE
